ticker,open,high,low,close,volume,vwap,t,transactions,otc
AAPL,189.34,189.34,189.34,189.34,1012.0,189.34,1701102174000,9,
AAPL,189.3355,189.34,189.3355,189.34,2020.0,189.3389,1701102175000,21,
AAPL,189.35,189.35,189.35,189.35,1186.0,189.3501,1701102176000,20,
AAPL,189.34,189.34,189.34,189.34,1152.0,189.34,1701102177000,18,
AAPL,189.35,189.35,189.35,189.35,663.0,189.3492,1701102178000,10,
AAPL,189.35,189.35,189.35,189.35,318.0,189.3493,1701102179000,7,
AAPL,189.35,189.35,189.35,189.35,526.0,189.3499,1701102181000,3,
AAPL,189.34,189.34,189.34,189.34,1868.0,189.34,1701102183000,24,
AAPL,189.335,189.335,189.335,189.335,244.0,189.3368,1701102184000,5,
AAPL,189.34,189.35,189.34,189.34,3096.0,189.3436,1701102185000,34,
AAPL,189.34,189.35,189.34,189.34,705.0,189.3414,1701102186000,8,
AAPL,189.35,189.35,189.35,189.35,166.0,189.349,1701102187000,6,
AAPL,189.3424,189.3424,189.3424,189.3424,342.0,189.3427,1701102188000,5,
AAPL,189.345,189.35,189.34,189.34,749.0,189.3478,1701102191000,6,
AAPL,189.3486,189.3486,189.3486,189.3486,258.0,189.3477,1701102192000,9,
AAPL,189.35,189.37,189.35,189.37,1957.0,189.3587,1701102193000,32,
AAPL,189.36,189.36,189.36,189.36,111.0,189.36,1701102194000,3,
AAPL,189.36,189.36,189.36,189.36,1784.0,189.36,1701102197000,25,
AAPL,189.37,189.37,189.37,189.37,1245.0,189.3694,1701102198000,21,
AAPL,189.37,189.37,189.37,189.37,326.0,189.37,1701102199000,9,
AAPL,189.38,189.38,189.38,189.38,738.0,189.3779,1701102200000,17,
AAPL,189.3799,189.38,189.37,189.38,1617.0,189.3793,1701102201000,4,
AAPL,189.389,189.389,189.389,189.389,287.0,189.3864,1701102202000,5,
AAPL,189.38,189.39,189.38,189.39,233.0,189.3845,1701102203000,8,
AAPL,189.39,189.39,189.385,189.385,499.0,189.3889,1701102204000,12,
AAPL,189.3894,189.4,189.3894,189.4,1661.0,189.3918,1701102205000,28,
AAPL,189.395,189.395,189.3901,189.3902,1073.0,189.3924,1701102206000,8,
AAPL,189.395,189.4,189.39,189.4,1704.0,189.3931,1701102207000,19,
AAPL,189.395,189.395,189.395,189.395,112.0,189.395,1701102208000,9,
AAPL,189.4,189.4,189.4,189.4,1787.0,189.4,1701102209000,24,
AAPL,189.4,189.4,189.4,189.4,635.0,189.4021,1701102210000,11,
AAPL,189.41,189.41,189.41,189.41,343.0,189.4084,1701102211000,6,
AAPL,189.41,189.41,189.41,189.41,437.0,189.41,1701102212000,13,
AAPL,189.4184,189.4184,189.415,189.415,563.0,189.4153,1701102213000,9,
AAPL,189.42,189.42,189.42,189.42,190.0,189.4181,1701102214000,4,
AAPL,189.42,189.42,189.41,189.415,301.0,189.415,1701102215000,4,
AAPL,189.415,189.415,189.4145,189.4145,260.0,189.4147,1701102216000,8,
AAPL,189.41,189.41,189.41,189.41,2192.0,189.41,1701102217000,22,
AAPL,189.405,189.405,189.405,189.405,225.0,189.4045,1701102218000,5,
AAPL,189.405,189.4083,189.405,189.4083,2001.0,189.4058,1701102219000,6,
AAPL,189.41,189.415,189.4,189.4,1408.0,189.4099,1701102222000,29,
AAPL,189.405,189.405,189.4,189.4,356.0,189.4016,1701102223000,9,
AAPL,189.4093,189.4093,189.4,189.405,312.0,189.405,1701102224000,4,
AAPL,189.4024,189.4024,189.4024,189.4024,156.0,189.405,1701102226000,8,
AAPL,189.4099,189.4099,189.405,189.405,3223.0,189.4093,1701102227000,7,
AAPL,189.405,189.405,189.405,189.405,270.0,189.4063,1701102228000,4,
AAPL,189.405,189.405,189.405,189.405,117.0,189.405,1701102229000,4,
AAPL,189.4002,189.4002,189.4002,189.4002,2032.0,189.4003,1701102231000,4,
AAPL,189.405,189.41,189.4002,189.4002,895.0,189.4027,1701102233000,6,
AAPL,189.41,189.42,189.41,189.415,9017.0,189.4138,1701102234000,33,
AAPL,189.415,189.4199,189.415,189.4199,582.0,189.4179,1701102235000,6,
AAPL,189.41,189.41,189.41,189.41,6370.0,189.4099,1701102237000,81,
AAPL,189.41,189.41,189.4054,189.41,1030.0,189.4092,1701102238000,13,
AAPL,189.41,189.41,189.41,189.41,102.0,189.41,1701102239000,3,
AAPL,189.41,189.41,189.41,189.41,710.0,189.4101,1701102240000,15,
AAPL,189.415,189.415,189.41,189.41,1457.0,189.4123,1701102241000,12,
AAPL,189.41,189.415,189.41,189.415,463.0,189.4122,1701102243000,7,
AAPL,189.415,189.415,189.415,189.415,281.0,189.4164,1701102244000,4,
AAPL,189.4199,189.43,189.415,189.43,2545.0,189.4205,1701102247000,37,
AAPL,189.425,189.425,189.425,189.425,913.0,189.4255,1701102248000,9,
