ts_recv,raw_symbol,expiration,instrument_class,strike_price,underlying,instrument_id,time,diff
1712275200000000000,"UD:1V: 13 2530217",1712354340000000000,"T",9223372036.854776,"",2530217,1721398215586,1
1712275200000000000,"ESM4 C5350",1718976600000000000,"C",5350.0,"ESM4",4163174,1721398215586,1
1712275200000000000,"UD:1V: GN 2501798",1712174400000000000,"T",9223372036.854776,"",2501798,1721398215586,1
1712275200000000000,"ESZ7 C3000",1829053800000000000,"C",3000.0,"ESZ7",773253,1721398215586,1
1712275200000000000,"ESZ5 C2600",1766154600000000000,"C",2600.0,"ESZ5",329287,1721398215586,1
1712275200000000000,"UD:1V: VT 2530550",1712354340000000000,"T",9223372036.854776,"",2530550,1721398215586,1
1712347068077157308,"UD:1V: BX 2803188",1712354340000000000,"T",9223372036.854776,"",2803188,1721398215586,1
1712275200000000000,"ESZ6 C6400",1797604200000000000,"C",6400.0,"ESZ6",746709,1721398215586,1
1712275200000000000,"ESH6 C2000",1774013400000000000,"C",2000.0,"ESH6",42426744,1721398215586,1
1712275200000000000,"ESH6 C1200",1774013400000000000,"C",1200.0,"ESH6",42429677,1721398215586,1
1712275200000000000,"ESU4 P6000",1726839000000000000,"P",6000.0,"ESU4",176873,1721398215586,1
1712275200000000000,"ESM4 P5525",1718976600000000000,"P",5525.0,"ESM4",42397125,1721398215586,1
1712275200000000000,"ESM4 C5530",1718976600000000000,"C",5530.0,"ESM4",42396826,1721398215586,1
1712275200000000000,"UD:1V: GN 2533932",1712354340000000000,"T",9223372036.854776,"",2533932,1721398215586,1
1712275200000000000,"ESU5 C1000",1758288600000000000,"C",1000.0,"ESU5",42197591,1721398215586,1
1712275200000000000,"UD:1V: GT 2545512",1712354340000000000,"T",9223372036.854776,"",2545512,1721398215586,1
1712275200000000000,"ESU4 C5500",1726839000000000000,"C",5500.0,"ESU4",220577,1721398215586,1
1712275200000000000,"ESU4 C2750",1726839000000000000,"C",2750.0,"ESU4",42204527,1721398215586,1
1712275200000000000,"UD:1V: VT 2508219",1712354340000000000,"T",9223372036.854776,"",2508219,1721398215586,1
1712275200000000000,"ESM4 P1100",1718976600000000000,"P",1100.0,"ESM4",160141,1721398215586,1
1712275200000000000,"ESZ8 P3500",1860503400000000000,"P",3500.0,"ESZ8",42341589,1721398215586,1
1712275200000000000,"ESM4 C3000",1718976600000000000,"C",3000.0,"ESM4",357972,1721398215586,1
1712275200000000000,"ESZ5 P2300",1766154600000000000,"P",2300.0,"ESZ5",789595,1721398215586,1
1712275200000000000,"UD:1V: GN 2563095",1712354340000000000,"T",9223372036.854776,"",2563095,1721398215586,1
